index0,index1,index2,Block_Dispatch_t.val
2,1,19,0.15
2,1,20,0.15
2,1,21,0.15
2,1,22,0.15
2,1,23,0.15
2,1,24,0.15
2,2,1,0.15
2,2,2,0.15
2,2,3,0.15
2,2,4,0.15
2,2,5,0.15
2,2,6,0.15
2,2,7,0.15
2,2,8,0.15
2,2,9,0.15
2,2,10,0.15
2,2,11,0.15
2,2,12,0.15
2,2,13,0.15
2,2,14,0.15
2,2,15,0.15
2,2,16,0.15
2,2,17,0.15
2,2,18,0.15
2,2,19,0.15
2,2,20,0.15
2,2,21,0.15
2,2,22,0.15
2,2,23,0.15
2,2,24,0.15
2,3,1,0.0
2,3,2,0.0
2,3,3,0.06000879412218757
2,3,4,0.001918013603329105
2,3,5,0.15
2,3,6,0.15
2,3,7,0.15
2,3,8,0.15
2,3,9,0.15
2,3,10,0.15
2,3,11,0.15
2,3,12,0.15
2,3,13,0.15
2,3,14,0.15
2,3,15,0.15
2,3,16,0.15
2,3,17,0.15
2,3,18,0.15
2,3,19,0.15
2,3,20,0.15
2,3,21,0.15
2,3,22,0.15
2,3,23,0.15
2,3,24,0.09933087134748056
2,4,1,0.0
2,4,2,0.0
2,4,3,0.0
2,4,4,0.0
2,4,5,0.0
2,4,6,0.0
2,4,7,0.0
2,4,8,0.0
2,4,9,0.0
2,4,10,0.0
2,4,11,0.0
2,4,12,0.0
2,4,13,0.05099425757972961
2,4,14,0.0
2,4,15,0.1105553006152036
2,4,16,0.0
2,4,17,0.03946474864823479
2,4,18,0.0
2,4,19,0.0
2,4,20,0.0
2,4,21,0.0
2,4,22,0.0
2,4,23,0.0
2,4,24,0.0
2,5,1,0.0
2,5,2,0.0
2,5,3,0.0
2,5,4,0.0
2,5,5,0.0
2,5,6,0.0
2,5,7,0.0
2,5,8,0.0
2,5,9,0.0
2,5,10,0.0
2,5,11,0.0
2,5,12,0.0
2,5,13,0.0
2,5,14,0.0
2,5,15,0.0
2,5,16,0.0
2,5,17,0.0
2,5,18,0.0
2,5,19,0.0
2,5,20,0.0
2,5,21,0.0
2,5,22,0.0
2,5,23,0.0
2,5,24,0.0
3,1,1,0.0
3,1,2,0.110000000000241
3,1,3,0.110000000000241
3,1,4,0.110000000000241
3,1,5,0.1100000000000136
3,1,6,0.1100000000000136
3,1,7,0.1100000000000136
3,1,8,0.1100000000000136
3,1,9,0.1100000000000136
3,1,10,0.1100000000000136
3,1,11,0.1100000000000136
3,1,12,0.1100000000000136
3,1,13,0.1100000000000136
3,1,14,0.1100000000000136
3,1,15,0.1100000000000136
3,1,16,0.1100000000000136
3,1,17,0.1100000000000136
3,1,18,0.1100000000000136
3,1,19,0.1100000000000136
3,1,20,0.1100000000000136
3,1,21,0.1100000000000136
3,1,22,0.110000000000241
3,1,23,0.110000000000241
3,1,24,0.110000000000241
3,2,1,0.0
3,2,2,0.0
3,2,3,0.0
3,2,4,0.0
3,2,5,0.0
3,2,6,0.0
3,2,7,0.0
3,2,8,0.0
3,2,9,0.0
3,2,10,0.0
3,2,11,0.04648199361909486
3,2,12,0.01661321158606038
3,2,13,0.110000000000241
3,2,14,0.110000000000241
3,2,15,0.110000000000241
3,2,16,0.110000000000241
3,2,17,0.110000000000241
3,2,18,0.110000000000241
3,2,19,0.03858186244333062
3,2,20,0.0
3,2,21,0.0
3,2,22,0.0
3,2,23,0.0
3,2,24,0.0
3,3,1,0.0
3,3,2,0.0
3,3,3,0.0
3,3,4,0.0
3,3,5,0.0
3,3,6,0.0
3,3,7,0.0
3,3,8,0.0
3,3,9,0.0
3,3,10,0.0
3,3,11,0.0
3,3,12,0.0
3,3,13,0.0
3,3,14,0.0
3,3,15,0.0
3,3,16,0.0
3,3,17,0.0
3,3,18,0.0
3,3,19,0.0
3,3,20,0.0
3,3,21,0.0
3,3,22,0.0
3,3,23,0.0
3,3,24,0.0
3,4,1,0.0
3,4,2,0.0
3,4,3,0.0
3,4,4,0.0
3,4,5,0.0
3,4,6,0.0
3,4,7,0.0
3,4,8,0.0
3,4,9,0.0
3,4,10,0.0
3,4,11,0.0
3,4,12,0.0
3,4,13,0.0
3,4,14,0.0
3,4,15,0.0
3,4,16,0.0
3,4,17,0.0
3,4,18,0.0
3,4,19,0.0
3,4,20,0.0
3,4,21,0.0
3,4,22,0.0
3,4,23,0.0
3,4,24,0.0
3,5,1,0.0
3,5,2,0.0
3,5,3,0.0
3,5,4,0.0
3,5,5,0.0
3,5,6,0.0
3,5,7,0.0
3,5,8,0.0
3,5,9,0.0
3,5,10,0.0
3,5,11,0.0
3,5,12,0.0
3,5,13,0.0
3,5,14,0.0
3,5,15,0.0
3,5,16,0.0
3,5,17,0.0
3,5,18,0.0
3,5,19,0.0
3,5,20,0.0
3,5,21,0.0
3,5,22,0.0
3,5,23,0.0
3,5,24,0.0
4,1,1,0.0
4,1,2,0.1
4,1,3,0.1
4,1,4,0.1
4,1,5,0.1
4,1,6,0.1
4,1,7,0.1
4,1,8,0.1
4,1,9,0.1
4,1,10,0.1
4,1,11,0.1
4,1,12,0.1
4,1,13,0.1
4,1,14,0.1
4,1,15,0.1
4,1,16,0.1
4,1,17,0.1
4,1,18,0.1
4,1,19,0.1
4,1,20,0.1
4,1,21,0.1
4,1,22,0.1
4,1,23,0.1
4,1,24,0.1
4,2,1,0.0
4,2,2,0.0
4,2,3,0.0
4,2,4,0.0
4,2,5,0.0
4,2,6,0.0
4,2,7,0.0
4,2,8,0.1
4,2,9,0.1
4,2,10,0.1
4,2,11,0.1
4,2,12,0.1
4,2,13,0.1
4,2,14,0.1
4,2,15,0.1
4,2,16,0.1
4,2,17,0.1
4,2,18,0.1
4,2,19,0.1
4,2,20,0.1
4,2,21,1.215818126731882e-09
4,2,22,0.0
4,2,23,0.0
4,2,24,0.0
4,3,1,0.0
4,3,2,0.0
4,3,3,0.0
4,3,4,0.0
4,3,5,0.0
4,3,6,0.0
4,3,7,0.0
4,3,8,0.0
4,3,9,0.0
4,3,10,0.0
4,3,11,0.0
4,3,12,0.0
4,3,13,0.0
4,3,14,0.0
4,3,15,0.0
4,3,16,0.0
4,3,17,0.0
4,3,18,0.0
4,3,19,0.0
4,3,20,0.0
4,3,21,0.0
4,3,22,0.0
4,3,23,0.0
4,3,24,0.0
4,4,1,0.0
4,4,2,0.0
4,4,3,0.0
4,4,4,0.0
4,4,5,0.0
4,4,6,0.0
4,4,7,0.0
4,4,8,0.0
4,4,9,0.0
4,4,10,0.0
4,4,11,0.0
4,4,12,0.0
4,4,13,0.0
4,4,14,0.0
4,4,15,0.0
4,4,16,0.0
4,4,17,0.0
4,4,18,0.0
4,4,19,0.0
4,4,20,0.0
4,4,21,0.0
4,4,22,0.0
4,4,23,0.0
4,4,24,0.0
4,5,1,0.0
4,5,2,0.0
4,5,3,0.0
4,5,4,0.0
4,5,5,0.0
4,5,6,0.0
4,5,7,0.0
4,5,8,0.0
4,5,9,0.0
4,5,10,0.0
4,5,11,0.0
4,5,12,0.0
4,5,13,0.0
4,5,14,0.0
4,5,15,0.0
4,5,16,0.0
4,5,17,0.0
4,5,18,0.0
4,5,19,0.0
4,5,20,0.0
4,5,21,0.0
4,5,22,0.0
4,5,23,0.0
4,5,24,0.0
5,1,1,0.08000000000004093
5,1,2,0.08000000000004093
5,1,3,0.08000000000004093
5,1,4,0.08000000000004093
5,1,5,0.08000000000004093
5,1,6,0.08000000000004093
5,1,7,0.08000000000004093
5,1,8,0.08000000000004093
5,1,9,0.08000000000004093
5,1,10,0.08000000000004093
5,1,11,0.08000000000004093
5,1,12,0.08000000000004093
5,1,13,0.08000000000004093
5,1,14,0.08000000000004093
5,1,15,0.08000000000004093
5,1,16,0.08000000000004093
5,1,17,0.08000000000004093
5,1,18,0.08000000000004093
5,1,19,0.08000000000004093
5,1,20,0.08000000000004093
5,1,21,0.08000000000004093
5,1,22,0.08000000000004093
5,1,23,0.08000000000004093
5,1,24,0.08000000000004093
5,2,1,0.02772954940668471
5,2,2,0.08000000000004093
5,2,3,0.08000000000004093
5,2,4,0.08000000000004093
5,2,5,0.08000000000004093
5,2,6,0.08000000000004093
5,2,7,0.08000000000004093
5,2,8,0.08000000000004093
5,2,9,0.08000000000004093
5,2,10,0.08000000000004093
5,2,11,0.08000000000004093
5,2,12,0.08000000000004093
5,2,13,0.08000000000004093
5,2,14,0.08000000000004093
5,2,15,0.08000000000004093
5,2,16,0.08000000000004093
5,2,17,0.08000000000004093
5,2,18,0.08000000000004093
5,2,19,0.08000000000004093
5,2,20,0.08000000000004093
5,2,21,0.08000000000004093
5,2,22,0.08000000000004093
5,2,23,0.08000000000004093
5,2,24,0.08000000000004093
5,3,1,0.0
5,3,2,0.0
5,3,3,0.0
5,3,4,0.0
5,3,5,0.0
5,3,6,0.0
5,3,7,0.08000000000004093
5,3,8,0.08000000000004093
5,3,9,0.08000000000004093
5,3,10,0.08000000000004093
5,3,11,0.08000000000004093
5,3,12,0.08000000000004093
5,3,13,0.08000000000004093
5,3,14,0.08000000000004093
5,3,15,0.08000000000004093
5,3,16,0.08000000000004093
5,3,17,0.08000000000004093
5,3,18,0.08000000000004093
5,3,19,0.08000000000004093
5,3,20,0.08000000000004093
5,3,21,0.08000000000004093
5,3,22,0.0
5,3,23,0.0
5,3,24,0.0
5,4,1,0.0
5,4,2,0.0
5,4,3,0.0
5,4,4,0.0
5,4,5,0.0
5,4,6,0.0
5,4,7,0.0
5,4,8,0.0
5,4,9,0.0
5,4,10,0.0
5,4,11,1.448539038717556e-09
5,4,12,1.524461779034425e-09
5,4,13,0.08000000000004093
5,4,14,0.08000000000004093
5,4,15,0.08000000000004093
5,4,16,0.08000000000004093
5,4,17,0.08000000000004093
5,4,18,0.08000000000004093
5,4,19,1.230266777341171e-09
5,4,20,0.0
5,4,21,0.0
5,4,22,0.0
5,4,23,0.0
5,4,24,0.0
5,5,1,0.0
5,5,2,0.0
5,5,3,0.0
5,5,4,0.0
5,5,5,0.0
5,5,6,0.0
5,5,7,0.0
5,5,8,0.0
5,5,9,0.0
5,5,10,0.0
5,5,11,0.0
5,5,12,0.0
5,5,13,0.0
5,5,14,0.0
5,5,15,0.0
5,5,16,0.0
5,5,17,0.0
5,5,18,0.0
5,5,19,0.0
5,5,20,0.0
5,5,21,0.0
5,5,22,0.0
5,5,23,0.0
5,5,24,0.0
