Resultados para a variável: Va
Va : Size=576, Index=i*t
      (4, 1) : -1.5707963267948966 :  -0.19438002498957013 : 1.5707963267948966 : False : False :  Reals
      (4, 2) : -1.5707963267948966 :  -0.19758741478746836 : 1.5707963267948966 : False : False :  Reals
      (4, 3) : -1.5707963267948966 :  -0.18791855050743977 : 1.5707963267948966 : False : False :  Reals
      (4, 4) : -1.5707963267948966 :  -0.17944253128711513 : 1.5707963267948966 : False : False :  Reals
      (4, 5) : -1.5707963267948966 :   -0.1728756661605025 : 1.5707963267948966 : False : False :  Reals
      (4, 6) : -1.5707963267948966 :  -0.16816785678048043 : 1.5707963267948966 : False : False :  Reals
      (4, 7) : -1.5707963267948966 :  -0.17320826363657946 : 1.5707963267948966 : False : False :  Reals
      (4, 8) : -1.5707963267948966 :  -0.18412609268330535 : 1.5707963267948966 : False : False :  Reals
      (4, 9) : -1.5707963267948966 :   -0.2050110358894939 : 1.5707963267948966 : False : False :  Reals
     (4, 10) : -1.5707963267948966 :  -0.21079405923925007 : 1.5707963267948966 : False : False :  Reals
     (4, 11) : -1.5707963267948966 :   -0.2192987702021254 : 1.5707963267948966 : False : False :  Reals
     (4, 12) : -1.5707963267948966 :  -0.20812326677625884 : 1.5707963267948966 : False : False :  Reals
     (4, 13) : -1.5707963267948966 :  -0.19253493626995474 : 1.5707963267948966 : False : False :  Reals
     (4, 14) : -1.5707963267948966 :   -0.1955326700913899 : 1.5707963267948966 : False : False :  Reals
     (4, 15) : -1.5707963267948966 :  -0.17042786838003798 : 1.5707963267948966 : False : False :  Reals
     (4, 16) : -1.5707963267948966 :  -0.15303138899695184 : 1.5707963267948966 : False : False :  Reals
     (4, 17) : -1.5707963267948966 :  -0.16594828486902433 : 1.5707963267948966 : False : False :  Reals
     (4, 18) : -1.5707963267948966 :  -0.18409609315928155 : 1.5707963267948966 : False : False :  Reals
     (4, 19) : -1.5707963267948966 :  -0.17736998506236099 : 1.5707963267948966 : False : False :  Reals
     (4, 20) : -1.5707963267948966 :    -0.188079399467486 : 1.5707963267948966 : False : False :  Reals
     (4, 21) : -1.5707963267948966 :  -0.19145031020736844 : 1.5707963267948966 : False : False :  Reals
     (4, 22) : -1.5707963267948966 :   -0.1850503911463772 : 1.5707963267948966 : False : False :  Reals
     (4, 23) : -1.5707963267948966 :   -0.1766331781607128 : 1.5707963267948966 : False : False :  Reals
     (4, 24) : -1.5707963267948966 :  -0.18370201805020786 : 1.5707963267948966 : False : False :  Reals
      (5, 1) : -1.5707963267948966 :  -0.21024889541910421 : 1.5707963267948966 : False : False :  Reals
      (5, 2) : -1.5707963267948966 :  -0.21528120248761554 : 1.5707963267948966 : False : False :  Reals
      (5, 3) : -1.5707963267948966 :  -0.20407640644850927 : 1.5707963267948966 : False : False :  Reals
      (5, 4) : -1.5707963267948966 :   -0.1943477197781903 : 1.5707963267948966 : False : False :  Reals
      (5, 5) : -1.5707963267948966 :  -0.18681310627906828 : 1.5707963267948966 : False : False :  Reals
      (5, 6) : -1.5707963267948966 :    -0.181525352314658 : 1.5707963267948966 : False : False :  Reals
      (5, 7) : -1.5707963267948966 :  -0.18744549069564848 : 1.5707963267948966 : False : False :  Reals
      (5, 8) : -1.5707963267948966 :   -0.1997854028462683 : 1.5707963267948966 : False : False :  Reals
      (5, 9) : -1.5707963267948966 :  -0.22326498613927487 : 1.5707963267948966 : False : False :  Reals
     (5, 10) : -1.5707963267948966 :   -0.2286902593622503 : 1.5707963267948966 : False : False :  Reals
     (5, 11) : -1.5707963267948966 :   -0.2381317851836205 : 1.5707963267948966 : False : False :  Reals
     (5, 12) : -1.5707963267948966 :  -0.22422895447750915 : 1.5707963267948966 : False : False :  Reals
     (5, 13) : -1.5707963267948966 :   -0.2063471086475482 : 1.5707963267948966 : False : False :  Reals
     (5, 14) : -1.5707963267948966 :   -0.2112059657392257 : 1.5707963267948966 : False : False :  Reals
     (5, 15) : -1.5707963267948966 :  -0.18170507261307245 : 1.5707963267948966 : False : False :  Reals
     (5, 16) : -1.5707963267948966 :   -0.1595791311610704 : 1.5707963267948966 : False : False :  Reals
     (5, 17) : -1.5707963267948966 :  -0.17233511080029099 : 1.5707963267948966 : False : False :  Reals
     (5, 18) : -1.5707963267948966 :  -0.19128559225092023 : 1.5707963267948966 : False : False :  Reals
     (5, 19) : -1.5707963267948966 :  -0.18396521525180767 : 1.5707963267948966 : False : False :  Reals
     (5, 20) : -1.5707963267948966 :  -0.19733461359939658 : 1.5707963267948966 : False : False :  Reals
     (5, 21) : -1.5707963267948966 :  -0.20297180664491754 : 1.5707963267948966 : False : False :  Reals
     (5, 22) : -1.5707963267948966 :   -0.1977603956224819 : 1.5707963267948966 : False : False :  Reals
     (5, 23) : -1.5707963267948966 :  -0.18944864410907886 : 1.5707963267948966 : False : False :  Reals
     (5, 24) : -1.5707963267948966 :  -0.19907281198885954 : 1.5707963267948966 : False : False :  Reals
      (6, 1) : -1.5707963267948966 :  -0.23357010262227246 : 1.5707963267948966 : False : False :  Reals
      (6, 2) : -1.5707963267948966 :  -0.23291641636011723 : 1.5707963267948966 : False : False :  Reals
      (6, 3) : -1.5707963267948966 :    -0.221436332802104 : 1.5707963267948966 : False : False :  Reals
      (6, 4) : -1.5707963267948966 :  -0.21123632574499432 : 1.5707963267948966 : False : False :  Reals
      (6, 5) : -1.5707963267948966 :   -0.2034289826658277 : 1.5707963267948966 : False : False :  Reals
      (6, 6) : -1.5707963267948966 :  -0.19793619168717658 : 1.5707963267948966 : False : False :  Reals
      (6, 7) : -1.5707963267948966 :  -0.20393583443234584 : 1.5707963267948966 : False : False :  Reals
      (6, 8) : -1.5707963267948966 :   -0.2161989232475822 : 1.5707963267948966 : False : False :  Reals
      (6, 9) : -1.5707963267948966 :  -0.23961154364376533 : 1.5707963267948966 : False : False :  Reals
     (6, 10) : -1.5707963267948966 :    -0.250759283905096 : 1.5707963267948966 : False : False :  Reals
     (6, 11) : -1.5707963267948966 :   -0.2602004627213157 : 1.5707963267948966 : False : False :  Reals
     (6, 12) : -1.5707963267948966 :   -0.2521574156339308 : 1.5707963267948966 : False : False :  Reals
     (6, 13) : -1.5707963267948966 :  -0.23908594126333435 : 1.5707963267948966 : False : False :  Reals
     (6, 14) : -1.5707963267948966 :  -0.23870297893884102 : 1.5707963267948966 : False : False :  Reals
     (6, 15) : -1.5707963267948966 :   -0.2159343630263659 : 1.5707963267948966 : False : False :  Reals
     (6, 16) : -1.5707963267948966 :   -0.1998022698760352 : 1.5707963267948966 : False : False :  Reals
     (6, 17) : -1.5707963267948966 :  -0.21424316363508586 : 1.5707963267948966 : False : False :  Reals
     (6, 18) : -1.5707963267948966 :   -0.2381454463327119 : 1.5707963267948966 : False : False :  Reals
     (6, 19) : -1.5707963267948966 :   -0.2308474107655511 : 1.5707963267948966 : False : False :  Reals
     (6, 20) : -1.5707963267948966 :  -0.23933644556221567 : 1.5707963267948966 : False : False :  Reals
     (6, 21) : -1.5707963267948966 :  -0.24024176203791836 : 1.5707963267948966 : False : False :  Reals
     (6, 22) : -1.5707963267948966 :  -0.23041958242480315 : 1.5707963267948966 : False : False :  Reals
     (6, 23) : -1.5707963267948966 :  -0.21626871128580022 : 1.5707963267948966 : False : False :  Reals
     (6, 24) : -1.5707963267948966 :  -0.22069007246572378 : 1.5707963267948966 : False : False :  Reals
      (7, 1) : -1.5707963267948966 :  -0.27119532871141294 : 1.5707963267948966 : False : False :  Reals
      (7, 2) : -1.5707963267948966 :   -0.2520539123352163 : 1.5707963267948966 : False : False :  Reals
      (7, 3) : -1.5707963267948966 :  -0.22771410386494104 : 1.5707963267948966 : False : False :  Reals
      (7, 4) : -1.5707963267948966 :  -0.18993945370911455 : 1.5707963267948966 : False : False :  Reals
      (7, 5) : -1.5707963267948966 :   -0.1637044913684966 : 1.5707963267948966 : False : False :  Reals
      (7, 6) : -1.5707963267948966 :  -0.13066249849784384 : 1.5707963267948966 : False : False :  Reals
      (7, 7) : -1.5707963267948966 :  -0.13024750086592857 : 1.5707963267948966 : False : False :  Reals
      (7, 8) : -1.5707963267948966 :  -0.15799062326225946 : 1.5707963267948966 : False : False :  Reals
      (7, 9) : -1.5707963267948966 :  -0.20326483688604263 : 1.5707963267948966 : False : False :  Reals
     (7, 10) : -1.5707963267948966 :  -0.22717664841557458 : 1.5707963267948966 : False : False :  Reals
     (7, 11) : -1.5707963267948966 :   -0.2148466093190904 : 1.5707963267948966 : False : False :  Reals
     (7, 12) : -1.5707963267948966 :  -0.22359237189348677 : 1.5707963267948966 : False : False :  Reals
     (7, 13) : -1.5707963267948966 :   -0.1958569727818033 : 1.5707963267948966 : False : False :  Reals
     (7, 14) : -1.5707963267948966 :  -0.17365153360562627 : 1.5707963267948966 : False : False :  Reals
     (7, 15) : -1.5707963267948966 :  -0.15104246542954058 : 1.5707963267948966 : False : False :  Reals
     (7, 16) : -1.5707963267948966 :  -0.08205057702197535 : 1.5707963267948966 : False : False :  Reals
     (7, 17) : -1.5707963267948966 :  -0.10302802069214441 : 1.5707963267948966 : False : False :  Reals
     (7, 18) : -1.5707963267948966 :  -0.09064475682381548 : 1.5707963267948966 : False : False :  Reals
     (7, 19) : -1.5707963267948966 :  -0.08188976758182913 : 1.5707963267948966 : False : False :  Reals
     (7, 20) : -1.5707963267948966 :  -0.14749827069081786 : 1.5707963267948966 : False : False :  Reals
     (7, 21) : -1.5707963267948966 :  -0.19240334361188066 : 1.5707963267948966 : False : False :  Reals
     (7, 22) : -1.5707963267948966 :  -0.22317810334650706 : 1.5707963267948966 : False : False :  Reals
     (7, 23) : -1.5707963267948966 :  -0.16776470098563664 : 1.5707963267948966 : False : False :  Reals
     (7, 24) : -1.5707963267948966 :  -0.14478366845057689 : 1.5707963267948966 : False : False :  Reals
      (8, 1) : -1.5707963267948966 :   -0.2558567068485156 : 1.5707963267948966 : False : False :  Reals
      (8, 2) : -1.5707963267948966 :  -0.24069666305256782 : 1.5707963267948966 : False : False :  Reals
      (8, 3) : -1.5707963267948966 :  -0.21992749266058276 : 1.5707963267948966 : False : False :  Reals
      (8, 4) : -1.5707963267948966 :  -0.18604272061614024 : 1.5707963267948966 : False : False :  Reals
      (8, 5) : -1.5707963267948966 :  -0.16219699532412796 : 1.5707963267948966 : False : False :  Reals
      (8, 6) : -1.5707963267948966 :  -0.13058706882867974 : 1.5707963267948966 : False : False :  Reals
      (8, 7) : -1.5707963267948966 :  -0.12881531006096458 : 1.5707963267948966 : False : False :  Reals
      (8, 8) : -1.5707963267948966 :  -0.15402111695815404 : 1.5707963267948966 : False : False :  Reals
      (8, 9) : -1.5707963267948966 :   -0.1941407039206183 : 1.5707963267948966 : False : False :  Reals
     (8, 10) : -1.5707963267948966 :  -0.21253655697657822 : 1.5707963267948966 : False : False :  Reals
     (8, 11) : -1.5707963267948966 :   -0.1991687952688107 : 1.5707963267948966 : False : False :  Reals
     (8, 12) : -1.5707963267948966 :  -0.20623070834524423 : 1.5707963267948966 : False : False :  Reals
     (8, 13) : -1.5707963267948966 :  -0.17919634916372376 : 1.5707963267948966 : False : False :  Reals
     (8, 14) : -1.5707963267948966 :  -0.16014115032600046 : 1.5707963267948966 : False : False :  Reals
     (8, 15) : -1.5707963267948966 :   -0.1389616299747158 : 1.5707963267948966 : False : False :  Reals
     (8, 16) : -1.5707963267948966 :  -0.09232430606902006 : 1.5707963267948966 : False : False :  Reals
     (8, 17) : -1.5707963267948966 :  -0.13166238143528028 : 1.5707963267948966 : False : False :  Reals
     (8, 18) : -1.5707963267948966 :   -0.1345623652863341 : 1.5707963267948966 : False : False :  Reals
     (8, 19) : -1.5707963267948966 :  -0.12689364294058897 : 1.5707963267948966 : False : False :  Reals
     (8, 20) : -1.5707963267948966 :  -0.17137613969543972 : 1.5707963267948966 : False : False :  Reals
     (8, 21) : -1.5707963267948966 :  -0.19520276969800787 : 1.5707963267948966 : False : False :  Reals
     (8, 22) : -1.5707963267948966 :   -0.2068581735850816 : 1.5707963267948966 : False : False :  Reals
     (8, 23) : -1.5707963267948966 :  -0.15835654015056022 : 1.5707963267948966 : False : False :  Reals
     (8, 24) : -1.5707963267948966 :  -0.13744236079170422 : 1.5707963267948966 : False : False :  Reals
      (9, 1) : -1.5707963267948966 :  -0.12795510806083718 : 1.5707963267948966 : False : False :  Reals
      (9, 2) : -1.5707963267948966 :   -0.1252301504728904 : 1.5707963267948966 : False : False :  Reals
      (9, 3) : -1.5707963267948966 :   -0.1199117016701232 : 1.5707963267948966 : False : False :  Reals
      (9, 4) : -1.5707963267948966 :  -0.11366613019171742 : 1.5707963267948966 : False : False :  Reals
      (9, 5) : -1.5707963267948966 :  -0.10899633157257439 : 1.5707963267948966 : False : False :  Reals
      (9, 6) : -1.5707963267948966 :  -0.10405179453365271 : 1.5707963267948966 : False : False :  Reals
      (9, 7) : -1.5707963267948966 :  -0.10555359508955835 : 1.5707963267948966 : False : False :  Reals
      (9, 8) : -1.5707963267948966 :  -0.11241833654818498 : 1.5707963267948966 : False : False :  Reals
      (9, 9) : -1.5707963267948966 :  -0.12501934995347236 : 1.5707963267948966 : False : False :  Reals
     (9, 10) : -1.5707963267948966 :  -0.13121711777462103 : 1.5707963267948966 : False : False :  Reals
     (9, 11) : -1.5707963267948966 :  -0.13389754243202742 : 1.5707963267948966 : False : False :  Reals
     (9, 12) : -1.5707963267948966 :   -0.1323284114341939 : 1.5707963267948966 : False : False :  Reals
     (9, 13) : -1.5707963267948966 :  -0.12389455581488945 : 1.5707963267948966 : False : False :  Reals
     (9, 14) : -1.5707963267948966 :  -0.12067374090963613 : 1.5707963267948966 : False : False :  Reals
     (9, 15) : -1.5707963267948966 :  -0.11048787011693807 : 1.5707963267948966 : False : False :  Reals
     (9, 16) : -1.5707963267948966 :  -0.10427255110472963 : 1.5707963267948966 : False : False :  Reals
     (9, 17) : -1.5707963267948966 :  -0.11775968339381736 : 1.5707963267948966 : False : False :  Reals
     (9, 18) : -1.5707963267948966 :  -0.12924171618346217 : 1.5707963267948966 : False : False :  Reals
     (9, 19) : -1.5707963267948966 :  -0.12485792122662331 : 1.5707963267948966 : False : False :  Reals
     (9, 20) : -1.5707963267948966 :  -0.13058078194658337 : 1.5707963267948966 : False : False :  Reals
     (9, 21) : -1.5707963267948966 :  -0.12982130862736915 : 1.5707963267948966 : False : False :  Reals
     (9, 22) : -1.5707963267948966 :  -0.12353530915276009 : 1.5707963267948966 : False : False :  Reals
     (9, 23) : -1.5707963267948966 :   -0.1132810442141213 : 1.5707963267948966 : False : False :  Reals
     (9, 24) : -1.5707963267948966 :  -0.11124211273143125 : 1.5707963267948966 : False : False :  Reals
     (10, 1) : -1.5707963267948966 :  -0.16843895089229044 : 1.5707963267948966 : False : False :  Reals
     (10, 2) : -1.5707963267948966 :   -0.1663086873724735 : 1.5707963267948966 : False : False :  Reals
     (10, 3) : -1.5707963267948966 :  -0.15756407624928162 : 1.5707963267948966 : False : False :  Reals
     (10, 4) : -1.5707963267948966 :  -0.14839923583518302 : 1.5707963267948966 : False : False :  Reals
     (10, 5) : -1.5707963267948966 :  -0.14150737177516226 : 1.5707963267948966 : False : False :  Reals
     (10, 6) : -1.5707963267948966 :  -0.13515356523317443 : 1.5707963267948966 : False : False :  Reals
     (10, 7) : -1.5707963267948966 :   -0.1385168420696943 : 1.5707963267948966 : False : False :  Reals
     (10, 8) : -1.5707963267948966 :   -0.1484572573331323 : 1.5707963267948966 : False : False :  Reals
     (10, 9) : -1.5707963267948966 :   -0.1666475550587754 : 1.5707963267948966 : False : False :  Reals
    (10, 10) : -1.5707963267948966 :  -0.17543110906807977 : 1.5707963267948966 : False : False :  Reals
    (10, 11) : -1.5707963267948966 :  -0.18002209442085976 : 1.5707963267948966 : False : False :  Reals
    (10, 12) : -1.5707963267948966 :  -0.17610653762073153 : 1.5707963267948966 : False : False :  Reals
    (10, 13) : -1.5707963267948966 :   -0.1653627873504447 : 1.5707963267948966 : False : False :  Reals
    (10, 14) : -1.5707963267948966 :  -0.16279682129996706 : 1.5707963267948966 : False : False :  Reals
    (10, 15) : -1.5707963267948966 :  -0.14704172898858794 : 1.5707963267948966 : False : False :  Reals
    (10, 16) : -1.5707963267948966 :  -0.13441636975401922 : 1.5707963267948966 : False : False :  Reals
    (10, 17) : -1.5707963267948966 :   -0.1492181346698772 : 1.5707963267948966 : False : False :  Reals
    (10, 18) : -1.5707963267948966 :   -0.1655711440357629 : 1.5707963267948966 : False : False :  Reals
    (10, 19) : -1.5707963267948966 :   -0.1599018504301688 : 1.5707963267948966 : False : False :  Reals
    (10, 20) : -1.5707963267948966 :   -0.1683400981087945 : 1.5707963267948966 : False : False :  Reals
    (10, 21) : -1.5707963267948966 :  -0.16946510644237994 : 1.5707963267948966 : False : False :  Reals
    (10, 22) : -1.5707963267948966 :  -0.16276621297367555 : 1.5707963267948966 : False : False :  Reals
    (10, 23) : -1.5707963267948966 :   -0.1492495894656484 : 1.5707963267948966 : False : False :  Reals
    (10, 24) : -1.5707963267948966 :  -0.14934971353518406 : 1.5707963267948966 : False : False :  Reals
     (11, 1) : -1.5707963267948966 : -0.031837746955970574 : 1.5707963267948966 : False : False :  Reals
     (11, 2) : -1.5707963267948966 : -0.031540426868916685 : 1.5707963267948966 : False : False :  Reals
     (11, 3) : -1.5707963267948966 :   -0.0328782955006985 : 1.5707963267948966 : False : False :  Reals
     (11, 4) : -1.5707963267948966 :  -0.03385246655683463 : 1.5707963267948966 : False : False :  Reals
     (11, 5) : -1.5707963267948966 :  -0.03461427015476389 : 1.5707963267948966 : False : False :  Reals
     (11, 6) : -1.5707963267948966 :  -0.03486560524093335 : 1.5707963267948966 : False : False :  Reals
     (11, 7) : -1.5707963267948966 :  -0.03393430511428542 : 1.5707963267948966 : False : False :  Reals
     (11, 8) : -1.5707963267948966 :  -0.03368188741496856 : 1.5707963267948966 : False : False :  Reals
     (11, 9) : -1.5707963267948966 :  -0.03371452926249433 : 1.5707963267948966 : False : False :  Reals
    (11, 10) : -1.5707963267948966 :  -0.03262031062947667 : 1.5707963267948966 : False : False :  Reals
    (11, 11) : -1.5707963267948966 :  -0.03317064235131016 : 1.5707963267948966 : False : False :  Reals
    (11, 12) : -1.5707963267948966 :  -0.03285758351104177 : 1.5707963267948966 : False : False :  Reals
    (11, 13) : -1.5707963267948966 : -0.030131104789625152 : 1.5707963267948966 : False : False :  Reals
    (11, 14) : -1.5707963267948966 :  -0.02969735962507907 : 1.5707963267948966 : False : False :  Reals
    (11, 15) : -1.5707963267948966 : -0.028633324214759465 : 1.5707963267948966 : False : False :  Reals
    (11, 16) : -1.5707963267948966 :  -0.03389572209981769 : 1.5707963267948966 : False : False :  Reals
    (11, 17) : -1.5707963267948966 : -0.039377342421010375 : 1.5707963267948966 : False : False :  Reals
    (11, 18) : -1.5707963267948966 :  -0.04136193618831653 : 1.5707963267948966 : False : False :  Reals
    (11, 19) : -1.5707963267948966 :  -0.03970116975526817 : 1.5707963267948966 : False : False :  Reals
    (11, 20) : -1.5707963267948966 :  -0.03868482132724874 : 1.5707963267948966 : False : False :  Reals
    (11, 21) : -1.5707963267948966 : -0.034934102936879353 : 1.5707963267948966 : False : False :  Reals
    (11, 22) : -1.5707963267948966 : -0.030568381665139595 : 1.5707963267948966 : False : False :  Reals
    (11, 23) : -1.5707963267948966 :  -0.03158256643832657 : 1.5707963267948966 : False : False :  Reals
    (11, 24) : -1.5707963267948966 : -0.030434931687404645 : 1.5707963267948966 : False : False :  Reals
     (12, 1) : -1.5707963267948966 :  -0.04108735906759437 : 1.5707963267948966 : False : False :  Reals
     (12, 2) : -1.5707963267948966 : -0.041826162606664635 : 1.5707963267948966 : False : False :  Reals
     (12, 3) : -1.5707963267948966 :  -0.04036904229030953 : 1.5707963267948966 : False : False :  Reals
     (12, 4) : -1.5707963267948966 :  -0.03827752192488764 : 1.5707963267948966 : False : False :  Reals
     (12, 5) : -1.5707963267948966 :  -0.03673462851442927 : 1.5707963267948966 : False : False :  Reals
     (12, 6) : -1.5707963267948966 : -0.034734021606536956 : 1.5707963267948966 : False : False :  Reals
     (12, 7) : -1.5707963267948966 :  -0.03477143724411754 : 1.5707963267948966 : False : False :  Reals
     (12, 8) : -1.5707963267948966 :  -0.03663748629420072 : 1.5707963267948966 : False : False :  Reals
     (12, 9) : -1.5707963267948966 :  -0.03957131732682201 : 1.5707963267948966 : False : False :  Reals
